species_name,type,cover,seedling,tree
acpa,Cover,TRUE,FALSE,FALSE
acpe,Tree/Seedling,TRUE,TRUE,TRUE
acru,Tree/Seedling,TRUE,TRUE,TRUE
acsa,Tree/Seedling,TRUE,TRUE,TRUE
acsp,Tree/Seedling,TRUE,TRUE,TRUE
actaea,Cover,TRUE,FALSE,FALSE
adpe,Cover,TRUE,FALSE,FALSE
agal,Cover,TRUE,FALSE,FALSE
agsp,Cover,TRUE,FALSE,FALSE
aial,Tree/Seedling,FALSE,TRUE,TRUE
alpe,Cover,TRUE,FALSE,FALSE
altr,Cover,TRUE,FALSE,FALSE
ambr,Cover,TRUE,FALSE,FALSE
amsp,Cover/Tree/Seedling,TRUE,TRUE,TRUE
apam,Cover,TRUE,FALSE,FALSE
arnu,Cover,TRUE,FALSE,FALSE
arsp,Cover,TRUE,FALSE,FALSE
artr,Cover,TRUE,FALSE,FALSE
asca,Cover,TRUE,FALSE,FALSE
ascl,Cover,TRUE,FALSE,FALSE
asqu,Cover,TRUE,FALSE,FALSE
aster,Cover,TRUE,FALSE,FALSE
beal,Tree/Seedling,TRUE,TRUE,TRUE
bele,Tree/Seedling,TRUE,TRUE,TRUE
bepa,Tree/Seedling,FALSE,TRUE,TRUE
berbe,Cover,TRUE,FALSE,FALSE
besp,Tree/Seedling,TRUE,TRUE,TRUE
beth,Cover,TRUE,FALSE,FALSE
bliv,Cover,TRUE,FALSE,FALSE
bodt,Cover,TRUE,FALSE,FALSE
bovi,Cover,TRUE,FALSE,FALSE
brsp,Cover,TRUE,FALSE,FALSE
caca,Tree/Seedling,TRUE,TRUE,TRUE
caco,Tree/Seedling,TRUE,TRUE,TRUE
cade,Tree/Seedling,FALSE,TRUE,TRUE
cadi,Cover,TRUE,FALSE,FALSE
cagl,Tree/Seedling,FALSE,TRUE,TRUE
caov,Tree/Seedling,TRUE,TRUE,TRUE
capl,Cover,TRUE,FALSE,FALSE
cardu,Cover,TRUE,FALSE,FALSE
casp,Tree/Seedling,TRUE,TRUE,TRUE
cath,Cover,TRUE,FALSE,FALSE
cato,Tree/Seedling,TRUE,TRUE,TRUE
ceam,Cover,TRUE,FALSE,FALSE
ceor,Cover,TRUE,FALSE,FALSE
cham,Cover,TRUE,FALSE,FALSE
chma,Cover,TRUE,FALSE,FALSE
cial,Cover,TRUE,FALSE,FALSE
cica,Cover,TRUE,FALSE,FALSE
cisp,Cover,TRUE,FALSE,FALSE
clca,Cover,TRUE,FALSE,FALSE
clvi,Cover,TRUE,FALSE,FALSE
coal,Cover,TRUE,FALSE,FALSE
cofl,Tree/Seedling,FALSE,TRUE,TRUE
cope,Cover,TRUE,FALSE,FALSE
cose,Cover,TRUE,FALSE,FALSE
cosp,Tree/Seedling,TRUE,TRUE,TRUE
cotr,Cover,TRUE,FALSE,FALSE
crsp,Tree/Seedling,FALSE,TRUE,TRUE
cyac,Cover,TRUE,FALSE,FALSE
cysp,Cover,TRUE,FALSE,FALSE
deob,Cover,TRUE,FALSE,FALSE
depu,Cover,TRUE,FALSE,FALSE
dewo,Cover,TRUE,FALSE,FALSE
dica,Cover,TRUE,FALSE,FALSE
dico,Cover,TRUE,FALSE,FALSE
didi,Cover,TRUE,FALSE,FALSE
drsp,Cover,TRUE,FALSE,FALSE
elum,Cover,TRUE,FALSE,FALSE
epco,Cover,TRUE,FALSE,FALSE
ephe,Cover,TRUE,FALSE,FALSE
epre,Cover,TRUE,FALSE,FALSE
epvi,Cover,TRUE,FALSE,FALSE
eral,Cover,TRUE,FALSE,FALSE
eram,Cover,TRUE,FALSE,FALSE
erhi,Cover,TRUE,FALSE,FALSE
ersp,Cover,TRUE,FALSE,FALSE
eudi,Cover,TRUE,FALSE,FALSE
eupu,Cover,TRUE,FALSE,FALSE
faga,Tree/Seedling,TRUE,TRUE,TRUE
fagr,Tree/Seedling,TRUE,TRUE,TRUE
fasa,Cover,TRUE,FALSE,FALSE
fasc,Cover,TRUE,FALSE,FALSE
fasp,Cover,TRUE,FALSE,FALSE
fram,Tree/Seedling,TRUE,TRUE,TRUE
frpe,Tree/Seedling,FALSE,TRUE,TRUE
frsp,Tree/Seedling,TRUE,TRUE,TRUE
frvi,Cover,TRUE,FALSE,FALSE
gabi,Cover,TRUE,FALSE,FALSE
galiu,Cover,TRUE,FALSE,FALSE
gapr,Cover,TRUE,FALSE,FALSE
gasp,Cover,TRUE,FALSE,FALSE
gate,Cover,TRUE,FALSE,FALSE
gesp,Cover,TRUE,FALSE,FALSE
geum,Cover,TRUE,FALSE,FALSE
gins,Cover,TRUE,FALSE,FALSE
glhe,Cover,TRUE,FALSE,FALSE
gosp,Cover,TRUE,FALSE,FALSE
grass,Cover,TRUE,FALSE,FALSE
havi,Cover,TRUE,FALSE,FALSE
heac,Cover,TRUE,FALSE,FALSE
hive,Cover,TRUE,FALSE,FALSE
hulu,Cover,TRUE,FALSE,FALSE
husp,Cover,TRUE,FALSE,FALSE
hyca,Cover,TRUE,FALSE,FALSE
hymu,Cover,TRUE,FALSE,FALSE
hypu,Cover,TRUE,FALSE,FALSE
hyvi,Cover,TRUE,FALSE,FALSE
ilmo,Cover,TRUE,FALSE,FALSE
imca,Cover,TRUE,FALSE,FALSE
imsp,Cover,TRUE,FALSE,FALSE
isve,Cover,TRUE,FALSE,FALSE
juci,Tree/Seedling,FALSE,TRUE,TRUE
juef,Cover,TRUE,FALSE,FALSE
kala,Cover,TRUE,FALSE,FALSE
laca,Cover,TRUE,FALSE,FALSE
lisp,Cover,TRUE,FALSE,FALSE
litu,Tree/Seedling,FALSE,TRUE,TRUE
loma,Cover,TRUE,FALSE,FALSE
lomo,Cover,TRUE,FALSE,FALSE
losp,Cover,TRUE,FALSE,FALSE
lyqu2,Cover,TRUE,FALSE,FALSE
lysp,Cover,TRUE,FALSE,FALSE
lysp1,Cover,TRUE,FALSE,FALSE
lysp2,Cover,TRUE,FALSE,FALSE
maac,Tree/Seedling,FALSE,TRUE,TRUE
maca,Cover,TRUE,FALSE,FALSE
mara,Cover,TRUE,FALSE,FALSE
